Data,Localizacao,Suspeitos,Confirmados,Internados,Intensivos,Recuperados,Mortes,AS,Confirmados_var,Suspeitos_var,Internados_var,Intensivos_var,Recuperados_var,Mortes_var,AS_var
06/03/2020,Portugal,13,181,13,0,0,0,354,34,4,4,0,0,0,141
07/03/2020,Portugal,21,224,21,0,0,0,412,43,8,8,0,0,0,58
08/03/2020,Portugal,30,281,30,0,0,0,447,57,9,9,0,0,0,35
09/03/2020,Portugal,39,339,38,0,0,0,496,58,9,8,0,0,0,49
10/03/2020,Portugal,41,375,40,0,0,0,667,36,2,2,0,0,0,171
11/03/2020,Portugal,59,471,57,0,0,0,3066,96,18,17,0,0,0,2399
12/03/2020,Portugal,78,637,69,0,0,0,4923,166,19,12,0,0,0,1857
13/03/2020,Portugal,112,1308,107,0,1,0,5674,671,34,38,0,0,0,751
14/03/2020,Portugal,169,1704,114,10,2,0,5011,396,57,7,10,1,0,-663
15/03/2020,Portugal,245,2271,139,9,2,0,4592,567,76,25,-1,1,0,-419
16/03/2020,Portugal,331,2908,139,18,3,1,4592,637,86,0,9,1,0,0
17/03/2020,Portugal,448,4030,206,17,3,1,6852,1122,117,67,-1,0,1,2260
18/03/2020,Portugal,642,5067,89,20,3,2,6656,1037,194,-117,3,0,0,-196
19/03/2020,Portugal,785,6061,89,20,3,3,8091,994,143,0,0,0,2,1435
20/03/2020,Portugal,1020,7732,126,26,5,6,9008,1671,235,37,6,2,3,917
21/03/2020,Portugal,1280,9854,156,35,5,12,13155,2122,260,30,9,0,6,4147
22/03/2020,Portugal,1600,11779,169,41,5,14,12562,1925,320,13,6,0,2,-593
23/03/2020,Portugal,2060,13674,201,47,14,23,11842,1895,460,32,6,9,9,-720
24/03/2020,Portugal,2362,15474,203,48,22,29,11842,1800,302,2,1,8,10,0
25/03/2020,Portugal,2995,21155,276,61,22,43,13624,5681,633,73,13,0,10,1782
26/03/2020,Portugal,3544,22257,191,61,43,60,14994,1102,549,-85,0,21,17,1370
27/03/2020,Portugal,4268,25431,354,71,43,76,19816,3174,724,163,10,0,16,4822
28/03/2020,Portugal,5170,32754,418,89,43,100,19927,7323,902,64,18,0,24,111
29/03/2020,Portugal,5962,38042,486,138,43,119,17785,5288,792,68,49,0,19,-2142
30/03/2020,Portugal,6408,44206,571,164,43,140,11482,6164,446,85,26,0,21,-6303
31/03/2020,Portugal,7443,52086,627,188,43,160,19260,7880,1035,56,24,0,20,7778
01/04/2020,Portugal,8251,59457,726,230,43,187,20275,7371,808,99,42,0,27,1015
02/04/2020,Portugal,9034,66895,1042,240,68,209,21798,7438,783,316,10,25,22,1523
03/04/2020,Portugal,9886,74377,1058,245,68,246,22559,7482,852,16,5,0,37,761
04/04/2020,Portugal,10524,81087,1075,251,75,266,22858,6710,638,17,6,7,20,299
05/04/2020,Portugal,11278,86370,1084,267,75,295,23209,5283,754,9,16,0,29,351
06/04/2020,Portugal,11730,91794,1099,270,140,311,23470,5424,452,15,3,65,16,261
07/04/2020,Portugal,12442,99730,1180,271,184,345,25070,7936,712,81,1,44,34,1600
08/04/2020,Portugal,13141,104886,1211,245,196,380,24481,5156,699,31,-26,12,35,-589
09/04/2020,Portugal,13956,115158,1173,241,205,408,24708,10272,815,-38,-4,9,29,227
10/04/2020,Portugal,15472,123564,1179,226,233,435,25914,8406,1516,6,-15,28,26,1206
11/04/2020,Portugal,15987,130300,1175,233,266,470,25432,6736,515,-4,7,33,35,-482
12/04/2020,Portugal,16585,136243,1177,228,277,504,25041,5943,598,2,-5,11,34,-391
13/04/2020,Portugal,16934,139184,1187,188,277,535,26989,2941,349,10,-40,0,31,1948
14/04/2020,Portugal,17448,142514,1227,218,347,567,23265,3330,514,40,30,70,32,-3724
15/04/2020,Portugal,18091,150804,1200,208,383,599,26144,8290,643,-27,-10,36,32,2879
16/04/2020,Portugal,18841,154727,1302,229,493,629,26065,3923,750,102,21,110,30,-79
17/04/2020,Portugal,19022,158940,1284,222,519,657,25456,4213,181,-18,-7,26,28,-609
18/04/2020,Portugal,19685,162711,1253,228,610,687,25456,3771,663,-31,6,91,30,0
19/04/2020,Portugal,20206,187604,1243,224,610,714,27847,24893,521,-10,-4,0,27,2391
20/04/2020,Portugal,20863,198353,1208,215,610,735,30805,10749,657,-35,-9,0,21,2958
21/04/2020,Portugal,21379,202769,1172,213,917,762,30646,4416,516,-36,-2,307,27,-159
22/04/2020,Portugal,21982,210302,1146,207,1143,785,30646,7533,603,-26,-6,226,23,0
23/04/2020,Portugal,22353,219848,1095,204,1201,820,30342,9546,371,-51,-3,58,35,-304
24/04/2020,Portugal,22797,227393,1068,188,1228,854,29621,7545,444,-27,-16,27,34,-721
25/04/2020,Portugal,23392,231737,1040,186,1277,880,29932,4223,474,-28,-2,49,26,311
26/04/2020,Portugal,23864,236410,1005,182,1329,903,30453,4613,412,-35,-4,52,23,521
27/04/2020,Portugal,24027,237571,995,176,1357,928,30703,1161,163,-10,-6,28,25,250
28/04/2020,Portugal,24322,239065,936,172,1389,948,29559,1494,295,-59,-4,32,20,-1144
29/04/2020,Portugal,24505,243655,980,169,1470,973,29568,4590,183,44,-3,81,25,9
30/04/2020,Portugal,25056,247696,968,172,1519,989,29467,3869,368,-12,3,49,16,-101
01/05/2020,Portugal,25056,247696,892,154,1647,1007,29756,3562,295,-76,-18,128,18,289
02/05/2020,Portugal,25190,252728,855,150,1671,1023,27895,1823,203,-37,-4,24,16,-1861
03/05/2020,Portugal,25282,252889,856,144,1689,1043,25324,161,92,1,-6,18,20,-2571
04/05/2020,Portugal,25524,254510,813,143,1712,1063,25081,1621,242,-43,-1,23,20,-243
05/05/2020,Portugal,25702,258488,818,134,1743,1074,25066,3978,178,5,-9,31,11,-15
06/05/2020,Portugal,26182,262041,838,136,2076,1089,24579,3553,480,20,2,333,15,-487
07/05/2020,Portugal,26715,265572,874,135,2258,1105,27318,3531,533,36,-1,182,16,2739
08/05/2020,Portugal,27268,269266,842,127,2422,1114,26829,3694,553,-32,-8,164,9,-489
09/05/2020,Portugal,27406,272443,815,120,2499,1126,26667,3177,138,-27,-7,77,12,-162
10/05/2020,Portugal,27581,274536,791,112,2549,1135,27581,2093,175,-18,-8,50,9,914
11/05/2020,Portugal,27679,276153,805,112,2549,1144,28307,1617,98,8,0,0,9,726
12/05/2020,Portugal,27913,279933,709,113,3013,1163,27054,3780,234,-96,1,464,19,-1253
13/05/2020,Portugal,28312,282961,692,103,3182,1175,26278,3028,219,-17,-10,169,12,-776
14/05/2020,Portugal,28319,286285,680,108,3198,1184,26082,3324,187,-12,5,16,9,-196
15/05/2020,Portugal,28583,289309,673,112,3328,1190,25792,3024,264,-7,4,130,6,-290
16/05/2020,Portugal,28810,292249,657,115,3822,1203,25419,2940,227,-16,3,494,13,-373
17/05/2020,Portugal,29036,294009,649,108,4636,1218,25640,1760,226,-8,-7,814,15,221
18/05/2020,Portugal,29209,295449,628,105,6430,1231,25360,1440,173,-21,-3,1794,13,-280
19/05/2020,Portugal,29432,298501,629,101,6431,1247,25487,3052,223,1,-4,1,16,127
20/05/2020,Portugal,29660,301225,609,93,6452,1263,25281,2724,228,-20,-8,21,16,-206
21/05/2020,Portugal,29912,303811,608,92,6452,1277,22741,2586,252,-1,-1,0,14,-2540
22/05/2020,Portugal,30200,306171,576,84,7590,1289,26198,2360,288,-32,-8,1138,12,3457
23/05/2020,Portugal,30471,308584,550,80,7705,1302,26130,2413,271,-26,-4,115,13,-68
24/05/2020,Portugal,30623,309966,536,78,17549,1316,26328,1382,152,-14,-2,9844,14,198
25/05/2020,Portugal,30788,311223,531,72,17822,1330,26249,1257,165,-5,-6,273,14,-79
