data,data_dados,confirmados,confirmados_arsnorte,confirmados_arscentro,confirmados_arslvt,confirmados_arsalentejo,confirmados_arsalgarve,confirmados_acores,confirmados_madeira,confirmados_estrangeiro,confirmados_novos,recuperados,obitos,internados,internados_uci,lab,suspeitos,vigilancia,n_confirmados,cadeias_transmissao,transmissao_importada,confirmados_0_9_f,confirmados_0_9_m,confirmados_10_19_f,confirmados_10_19_m,confirmados_20_29_f,confirmados_20_29_m,confirmados_30_39_f,confirmados_30_39_m,confirmados_40_49_f,confirmados_40_49_m,confirmados_50_59_f,confirmados_50_59_m,confirmados_60_69_f,confirmados_60_69_m,confirmados_70_79_f,confirmados_70_79_m,confirmados_80_plus_f,confirmados_80_plus_m,sintomas_tosse,sintomas_febre,sintomas_dificuldade_respiratoria,sintomas_cefaleia,sintomas_dores_musculares,sintomas_fraqueza_generalizada,confirmados_f,confirmados_m,obitos_arsnorte,obitos_arscentro,obitos_arslvt,obitos_arsalentejo,obitos_arsalgarve,obitos_acores,obitos_madeira,obitos_estrangeiro,recuperados_arsnorte,recuperados_arscentro,recuperados_arslvt,recuperados_arsalentejo,recuperados_arsalgarve,recuperados_acores,recuperados_madeira,recuperados_estrangeiro,obitos_0_9_f,obitos_0_9_m,obitos_10_19_f,obitos_10_19_m,obitos_20_29_f,obitos_20_29_m,obitos_30_39_f,obitos_30_39_m,obitos_40_49_f,obitos_40_49_m,obitos_50_59_f,obitos_50_59_m,obitos_60_69_f,obitos_60_69_m,obitos_70_79_f,obitos_70_79_m,obitos_80_plus_f,obitos_80_plus_m,obitos_f,obitos_m,confirmados_desconhecidos_m,confirmados_desconhecidos_f
28/01/2020,28/01/2020 00:00,39,1130,293,852,6,46,12,12,11,302,22,33,203,48,1783,15474,11842,11329,,142,18,7,35,30,145,133,206,188,224,224,215,208,190,158,106,107,95,73,0.7,0.58,0.24,0.34,0.42,0.27,1234,1128,14,6,12,0,1,0,0,0,3,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,5,9,12,10,23,,
29/01/2020,29/01/2020 00:00,41,1517,365,992,12,62,17,16,14,633,22,43,276,61,1591,21155,13624,16569,,155,21,13,42,35,191,157,260,230,279,272,283,252,226,198,134,142,150,110,0.62,0.51,0.19,0.28,0.36,0.23,1586,1409,20,10,12,0,1,0,0,0,3,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,7,0,7,12,13,13,30,,
30/01/2020,30/01/2020 00:00,59,1858,435,1082,20,89,24,15,21,549,43,60,191,61,1995,22257,14994,16718,,330,29,14,51,49,234,166,310,268,367,304,360,277,229,255,133,184,186,128,0.53,0.48,0.19,0.63,0.31,0.37,1899,1645,28,13,18,0,1,0,0,0,3,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,8,1,14,17,16,19,41,,
31/01/2020,31/01/2020 00:00,78,2443,520,1110,30,99,24,21,21,724,43,76,354,71,3995,25431,19816,17168,,330,30,19,54,50,254,179,364,307,462,359,429,346,294,319,179,236,222,161,0.6,0.51,0.19,0.28,0.35,0.24,2288,1976,33,18,24,0,1,0,0,0,16,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,9,4,14,20,23,27,49,,
01/02/2020,01/02/2020 00:00,112,3035,647,1287,34,106,30,31,,902,43,100,418,89,4938,32754,19927,22646,,330,34,22,67,56,302,216,439,362,568,434,533,398,359,377,224,286,285,208,0.49,0.41,0.15,0.23,0.28,0.19,2811,2359,44,28,27,0,1,0,0,,16,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,1,13,4,17,27,31,35,65,,
02/02/2020,02/02/2020 00:00,169,3550,709,1478,41,108,33,43,,792,43,119,486,138,5508,38042,17785,26572,,427,40,24,75,63,347,241,495,407,664,482,615,469,412,438,275,336,334,245,0.62,0.52,0.2,0.29,0.35,0.24,3257,2705,61,28,28,0,2,0,0,,16,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,1,14,7,20,32,38,43,76,,
03/02/2020,03/02/2020 00:00,245,3801,784,1577,45,116,41,44,,446,43,140,571,164,4845,44206,11482,32953,,431,41,30,83,66,373,264,529,436,700,510,647,503,443,458,308,360,388,269,0.61,0.51,0.19,0.29,0.35,0.24,3512,2896,74,34,30,0,2,0,0,,16,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,1,15,8,23,40,45,52,88,,
04/02/2020,04/02/2020 00:00,331,4452,911,1799,50,137,48,46,,1035,43,160,627,188,4610,52086,19260,40033,,504,50,44,104,80,437,318,610,505,798,585,773,573,513,515,342,416,462,318,0.62,0.5,0.19,0.29,0.34,0.24,4089,3354,83,40,35,0,2,0,0,,16,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,1,16,13,25,47,50,64,96,,
05/02/2020,05/02/2020 00:00,448,4910,1043,1998,54,146,52,48,,808,43,187,726,230,4957,59457,20275,46249,,532,55,49,116,89,470,355,677,543,879,641,840,636,569,564,378,455,554,381,0.61,0.49,0.19,0.29,0.33,0.24,4538,3713,95,52,38,0,2,0,0,,16,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,6,1,16,14,27,58,62,76,111,,
06/02/2020,06/02/2020 00:00,642,5338,1161,2207,59,164,57,48,,783,68,209,1042,240,4958,66895,21798,52903,,550,63,52,122,97,506,390,735,593,970,681,929,701,622,605,402,490,641,435,0.6,0.49,0.19,0.28,0.33,0.25,4990,4044,107,55,44,0,3,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,6,2,16,15,30,63,73,84,125,,
07/02/2020,07/02/2020 00:00,785,5899,1286,2347,62,179,63,50,,852,68,246,1058,245,5392,74377,22556,59099,,576,65,68,132,104,580,425,825,648,1093,734,1025,761,679,646,420,525,690,466,0.6,0.48,0.18,0.29,0.33,0.25,5509,4377,130,61,51,1,3,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,7,3,18,23,35,73,83,103,143,,
08/02/2020,08/02/2020 00:00,1020,6280,1372,2513,63,182,63,51,,638,75,266,1075,251,5518,81087,22858,65045,,603,74,76,137,115,632,450,877,690,1157,771,1095,813,723,673,450,549,747,495,0.6,0.47,0.18,0.28,0.32,0.25,5892,4632,141,66,54,0,5,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,3,1,2,6,4,20,22,38,86,84,117,149,,
09/02/2020,09/02/2020 00:00,1280,6530,1442,2904,82,201,67,52,,754,75,295,1084,267,4962,86370,23209,70130,,619,81,81,153,123,692,487,933,738,1232,826,1170,863,777,714,479,580,817,532,0.6,0.46,0.17,0.29,0.32,0.25,6334,4944,158,72,58,0,7,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,3,1,2,6,6,21,24,42,92,98,127,168,,
10/02/2020,10/02/2020 00:00,1600,6706,1521,3070,84,229,68,52,,452,140,311,1099,270,4500,91794,23470,75564,,623,87,87,155,130,708,507,963,768,1269,860,1217,883,802,733,503,599,897,562,0.6,0.46,0.17,0.28,0.32,0.24,6601,5129,168,76,60,0,7,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,3,1,2,6,7,22,26,45,99,100,137,174,,
11/02/2020,11/02/2020 00:00,2060,7052,1766,3185,85,234,68,52,,712,184,345,1180,271,4442,99730,25070,82846,,637,87,92,166,140,756,538,1021,797,1338,901,1296,920,845,769,530,629,1012,605,0.59,0.46,0.17,0.28,0.31,0.24,7051,5391,186,88,64,0,7,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,3,1,2,7,10,25,28,50,114,105,157,188,,
12/02/2020,12/02/2020 00:00,2362,7386,1865,3424,93,251,70,52,,699,196,380,1211,245,5903,104886,24481,85842,,637,95,97,175,148,796,567,1093,831,1423,957,1386,966,896,814,568,658,1052,619,0.59,0.46,0.17,0.28,0.31,0.24,7484,5657,208,96,68,0,8,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,3,1,2,8,12,26,34,53,125,116,176,204,,
13/02/2020,13/02/2020 00:00,2995,8102,1905,3451,94,260,91,53,,815,205,409,1173,241,3801,115158,24708,97401,,642,101,105,190,161,846,598,1141,872,1483,1000,1452,1005,938,842,608,676,1235,703,0.58,0.45,0.17,0.28,0.31,0.23,7994,5962,224,104,72,0,8,1,0,,,,,,,,,,0,0,0,0,0,0,0,0,3,1,2,8,12,30,34,54,139,126,190,219,,
14/02/2020,14/02/2020 00:00,3544,8897,2197,3821,125,279,94,59,,1516,233,435,1179,226,4509,123564,25914,103583,,660,119,126,214,186,959,649,1261,954,1641,1094,1619,1093,1035,924,682,724,1415,777,0.57,0.43,0.17,0.27,0.3,0.23,8945,6527,240,107,78,0,8,2,0,,,,,,,,,,0,0,0,0,0,0,0,0,3,1,2,10,12,31,35,57,151,133,203,232,,
15/02/2020,15/02/2020 00:00,4268,9264,2327,3834,130,279,94,59,,515,266,470,1175,233,3961,130300,25432,110352,,660,132,133,224,191,982,657,1290,966,1701,1116,1665,1127,1065,945,714,746,1517,816,0.56,0.42,0.17,0.26,0.29,0.23,9290,6697,258,113,87,0,9,3,0,,,,,,,,,,0,0,0,0,0,0,0,0,3,1,3,13,13,35,38,62,161,141,218,252,,
16/02/2020,16/02/2020 00:00,5170,9747,2426,3841,139,279,94,59,,598,277,504,1177,228,3611,136243,25041,116047,,697,147,136,229,201,1030,681,1329,995,1752,1143,1728,1163,1101,972,750,767,1616,845,0.56,0.42,0.17,0.26,0.29,0.23,9682,6903,280,120,91,0,9,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,4,1,3,13,13,35,40,68,180,147,240,264,,
17/02/2020,17/02/2020 00:00,5962,9984,2477,3896,140,284,94,59,,349,277,535,1187,188,3264,139184,26989,118986,,707,147,137,229,206,1059,704,1362,1010,1773,1159,1762,1180,1120,986,781,784,1676,859,0.55,0.41,0.16,0.26,0.29,0.23,9909,7025,303,123,96,0,9,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,5,1,4,13,16,37,43,68,194,154,262,273,,
18/02/2020,18/02/2020 00:00,6408,10302,2549,3994,155,289,100,59,,514,347,567,1227,218,2474,142514,23265,122592,,707,147,143,241,210,1094,726,1397,1025,1829,1176,1817,1211,1173,995,824,802,1754,884,0.54,0.41,0.16,0.26,0.28,0.23,10276,7172,321,131,102,0,9,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,5,2,5,13,17,39,45,71,208,162,280,287,,
19/02/2020,19/02/2020 00:00,7443,10751,2629,4102,155,295,100,59,,643,383,599,1200,208,4060,150804,26144,128653,,723,153,151,250,220,1144,754,1457,1049,1903,1221,1890,1243,1212,1030,840,833,1821,920,0.54,0.4,0.16,0.25,0.28,0.23,10670,7421,339,136,111,0,9,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,5,2,5,13,19,39,49,76,218,173,296,303,,
20/02/2020,20/02/2020 00:00,8251,11237,2756,4237,156,300,102,53,,750,493,629,1302,229,3910,154727,26065,131976,,729,164,157,259,226,1205,789,1530,1094,1982,1285,1977,1302,1251,1068,867,848,1887,950,0.56,0.41,0.17,0.25,0.29,0.24,11122,7719,355,146,115,0,9,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,5,3,5,13,19,40,52,79,230,183,311,318,,
21/02/2020,21/02/2020 00:00,9034,11324,2778,4302,158,305,102,53,,181,519,657,1284,222,4805,158940,25456,135113,,731,165,157,261,226,1217,796,1543,1106,1997,1299,1996,1310,1264,1077,880,851,1917,960,0.53,0.38,0.16,0.25,0.27,0.21,11240,7782,377,148,119,0,9,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,5,3,5,13,19,42,54,83,240,193,323,334,,
22/02/2020,22/02/2020 00:00,9886,11762,2863,4438,158,306,104,54,,663,610,687,1253,228,5166,162711,25456,137860,,735,171,157,277,231,1269,828,1601,1150,2056,1332,2073,1349,1300,1107,909,876,1999,1000,0.53,0.38,0.16,0.25,0.27,0.21,11655,8030,393,157,124,0,9,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,5,3,5,14,21,43,58,87,250,201,339,348,,
23/02/2020,23/02/2020 00:00,10524,12148,2923,4500,158,310,106,61,,521,610,714,1243,224,4959,187604,27947,162439,,735,181,164,290,246,1293,856,1650,1181,2112,1361,2133,1377,1321,1123,935,891,2062,1030,0.52,0.38,0.16,0.25,0.27,0.21,11977,8229,409,164,126,0,10,5,0,,,,,,,,,,0,0,0,0,0,0,0,0,5,3,5,15,22,43,63,88,261,209,356,358,,
24/02/2020,24/02/2020 00:00,11278,12543,2952,4709,161,311,107,80,,657,610,735,1208,215,4739,198353,30805,172751,,735,189,170,319,262,1367,933,1694,1237,2181,1417,2191,1391,1332,1171,972,905,2091,1041,0.52,0.38,0.16,0.24,0.27,0.2,12336,8527,424,164,130,0,11,6,0,,,,,,,,,,0,0,0,0,0,0,0,0,5,3,5,15,22,43,66,89,269,218,367,368,,
25/02/2020,25/02/2020 00:00,11730,12806,2999,4896,173,313,107,85,,516,917,762,1172,213,5009,202769,30646,176381,,735,189,170,321,266,1390,988,1713,1271,2202,1418,2231,1439,1384,1173,978,927,2222,1097,0.52,0.37,0.15,0.25,0.27,0.2,12630,8749,441,171,133,0,11,6,0,,,,,,,,,,0,0,0,0,0,0,0,0,5,4,5,15,22,45,68,91,282,225,382,380,,
26/02/2020,26/02/2020 00:00,12442,13150,3053,5093,176,316,109,85,,603,1143,785,1146,207,3219,210302,30646,185101,,735,189,171,353,295,1437,1022,1777,1296,2302,1439,2303,1466,1401,1220,1025,936,2242,1108,0.52,0.37,0.15,0.25,0.27,0.2,13029,8953,454,175,138,1,11,6,0,,,,,,,,,,0,0,0,0,0,0,0,0,5,4,5,15,22,45,68,93,295,233,395,390,,
27/02/2020,27/02/2020 00:00,13141,13382,3084,5194,181,318,109,85,,371,1201,820,1095,204,4048,219848,30342,193447,,741,189,171,362,297,1473,1058,1809,1321,2317,1468,2328,1490,1421,1236,1036,963,2279,1135,0.51,0.36,0.14,0.24,0.27,0.2,13214,9139,475,179,146,1,11,8,0,,,,,,,,,,0,0,0,0,0,0,0,0,5,4,5,16,23,48,70,98,311,240,414,406,,
28/02/2020,28/02/2020 00:00,13956,13707,3116,5277,183,320,109,85,,444,1228,854,1068,188,4377,227393,29621,200219,,741,189,171,372,299,1511,1097,1842,1347,2332,1498,2363,1517,1450,1273,1057,990,2322,1167,0.5,0.36,0.14,0.24,0.26,0.2,13438,9359,491,183,160,1,11,8,0,,,,,,,,,,0,0,0,0,0,0,0,0,5,4,5,17,24,51,71,103,323,251,428,426,,
29/02/2020,29/02/2020 00:00,15472,13951,3183,5435,185,320,111,86,,474,1277,880,1040,186,4783,231616,29932,203562,,741,191,177,382,301,1535,1109,1880,1387,2391,1536,2418,1540,1481,1288,1073,1000,2389,1193,0.5,0.36,0.14,0.24,0.26,0.2,13740,9531,502,188,170,1,11,8,0,,,,,,,,,,0,0,0,0,0,0,0,0,5,5,6,18,25,52,71,107,332,259,439,441,,
01/03/2020,01/03/2020 00:00,15987,14205,3232,5531,187,322,120,86,,412,1329,903,1005,182,4673,236229,30453,207873,,751,195,183,391,309,1567,1126,1915,1399,2436,1551,2450,1555,1498,1300,1100,1014,2475,1219,0.5,0.36,0.15,0.23,0.26,0.2,14027,9656,519,188,175,1,12,8,0,,,,,,,,,,0,0,0,0,0,0,0,0,5,5,6,18,26,52,73,109,345,264,455,448,,
02/03/2020,02/03/2020 00:00,16585,14315,3252,5556,189,328,120,86,,163,1357,928,995,176,5091,237390,30703,208453,,751,196,184,395,313,1574,1132,1924,1405,2451,1561,2460,1571,1514,1305,1109,1018,2504,1230,0.5,0.36,0.15,0.23,0.26,0.19,14127,9719,536,191,179,1,12,9,0,,,,,,,,,,0,0,0,0,0,0,0,0,5,5,6,20,28,52,73,111,356,272,468,460,,
03/03/2020,03/03/2020 00:00,16934,14521,3289,5593,201,330,121,86,,295,1389,948,936,172,3563,238884,29559,211180,,751,205,189,399,314,1594,1149,1938,1419,2481,1586,2481,1581,1540,1316,1129,1032,2531,1257,0.5,0.36,0.15,0.23,0.25,0.19,14298,9843,546,194,185,1,12,10,0,,,,,,,,,,0,0,0,0,0,0,0,0,5,5,7,20,30,53,75,112,362,279,479,469,,
04/03/2020,04/03/2020 00:00,17448,14534,3340,5695,214,330,125,86,,183,1470,973,980,169,3825,243474,29568,215325,,751,207,189,403,316,1604,1153,1950,1437,2499,1596,2499,1599,1552,1322,1139,1037,2555,1267,0.48,0.35,0.13,0.21,0.22,0.17,14408,9916,556,196,195,1,13,12,0,,,,,,,,,,0,0,0,0,0,0,0,0,5,5,7,21,31,55,78,113,375,283,496,477,,
05/03/2020,05/03/2020 00:00,17000,15000,30000,5929.681818,210,332.8030303,124.3333333,94.66666667,,178.0606061,1644.833333,1005.757576,903.3333333,160.0909091,3965.469697,258698.3333,30894.33333,229556.3636,,753.8787879,206.7575758,191.8939394,431.3787879,336.030303,1673.742424,1232.924242,2021.227273,1489.333333,2575.515152,1637.590909,2581.5,1641.287879,1588.651515,1370.621212,1175.090909,1067.681818,2646.30303,1308.969697,0.48469697,0.349242424,0.136515152,0.21969697,0.240606061,0.181818182,14900.16667,10276.33333,577.9242424,202.2575758,199.969697,1.393939394,12.84848485,11.36363636,0,,,,,,,,,,0,0,0,0,0,0,0,0,5,5,8,21,31,56,81,114,380,288,505,484,,
06/03/2020,06/03/2020 00:00,0,0,0,0,0,0,0,0,,0,0,0,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
