Data,Localizacao,Suspeitos,Confirmados,Internados,Intensivos,Recuperados,Mortes,AS,Confirmados_var,Suspeitos_var,Internados_var,Intensivos_var,Recuperados_var,Mortes_var,AS_var
24/01/2020,Portugal,147,9,9,0,0,0,213,3,30,9,0,0,0,132
25/01/2020,Portugal,181,13,13,0,0,0,354,4,34,4,0,0,0,141
26/01/2020,Portugal,224,21,21,0,0,0,412,8,43,8,0,0,0,58
27/01/2020,Portugal,281,30,30,0,0,0,447,9,57,9,0,0,0,35
28/01/2020,Portugal,339,39,38,0,0,0,496,9,58,8,0,0,0,49
29/01/2020,Portugal,375,41,40,0,0,0,667,2,36,2,0,0,0,171
30/01/2020,Portugal,471,59,57,0,0,0,3066,18,96,17,0,0,0,2399
31/01/2020,Portugal,637,78,69,0,0,0,4923,19,166,12,0,0,0,1857
01/02/2020,Portugal,1308,112,107,0,1,0,5674,34,671,38,0,0,0,751
02/02/2020,Portugal,1704,169,114,10,2,0,5011,57,396,7,10,1,0,-663
03/02/2020,Portugal,2271,245,139,9,2,0,4592,76,567,25,-1,1,0,-419
04/02/2020,Portugal,2908,331,139,18,3,1,4592,86,637,0,9,1,0,0
05/02/2020,Portugal,4030,448,206,17,3,1,6852,117,1122,67,-1,0,1,2260
06/02/2020,Portugal,5067,642,89,20,3,2,6656,194,1037,-117,3,0,0,-196
07/02/2020,Portugal,6061,785,89,20,3,3,8091,143,994,0,0,0,2,1435
08/02/2020,Portugal,7732,1020,126,26,5,6,9008,235,1671,37,6,2,3,917
09/02/2020,Portugal,9854,1280,156,35,5,12,13155,260,2122,30,9,0,6,4147
10/02/2020,Portugal,11779,1600,169,41,5,14,12562,320,1925,13,6,0,2,-593
11/02/2020,Portugal,13674,2060,201,47,14,23,11842,460,1895,32,6,9,9,-720
12/02/2020,Portugal,15474,2362,203,48,22,29,11842,302,1800,2,1,8,10,0
13/02/2020,Portugal,21155,2995,276,61,22,43,13624,633,5681,73,13,0,10,1782
14/02/2020,Portugal,22257,3544,191,61,43,60,14994,549,1102,-85,0,21,17,1370
15/02/2020,Portugal,25431,4268,354,71,43,76,19816,724,3174,163,10,0,16,4822
16/02/2020,Portugal,32754,5170,418,89,43,100,19927,902,7323,64,18,0,24,111
17/02/2020,Portugal,38042,5962,486,138,43,119,17785,792,5288,68,49,0,19,-2142
18/02/2020,Portugal,44206,6408,571,164,43,140,11482,446,6164,85,26,0,21,-6303
19/02/2020,Portugal,52086,7443,627,188,43,160,19260,1035,7880,56,24,0,20,7778
20/02/2020,Portugal,59457,8251,726,230,43,187,20275,808,7371,99,42,0,27,1015
21/02/2020,Portugal,66895,9034,1042,240,68,209,21798,783,7438,316,10,25,22,1523
22/02/2020,Portugal,74377,9886,1058,245,68,246,22559,852,7482,16,5,0,37,761
23/02/2020,Portugal,81087,10524,1075,251,75,266,22858,638,6710,17,6,7,20,299
24/02/2020,Portugal,86370,11278,1084,267,75,295,23209,754,5283,9,16,0,29,351
25/02/2020,Portugal,91794,11730,1099,270,140,311,23470,452,5424,15,3,65,16,261
26/02/2020,Portugal,99730,12442,1180,271,184,345,25070,712,7936,81,1,44,34,1600
27/02/2020,Portugal,104886,13141,1211,245,196,380,24481,699,5156,31,-26,12,35,-589
28/02/2020,Portugal,115158,13956,1173,241,205,408,24708,815,10272,-38,-4,9,29,227
29/02/2020,Portugal,123564,15472,1179,226,233,435,25914,1516,8406,6,-15,28,26,1206
01/03/2020,Portugal,130300,15987,1175,233,266,470,25432,515,6736,-4,7,33,35,-482
02/03/2020,Portugal,136243,16585,1177,228,277,504,25041,598,5943,2,-5,11,34,-391
03/03/2020,Portugal,139184,16934,1187,188,277,535,26989,349,2941,10,-40,0,31,1948
04/03/2020,Portugal,142514,17448,1227,218,347,567,23265,514,3330,40,30,70,32,-3724
05/03/2020,Portugal,150804,18091,1200,208,383,599,26144,643,8290,-27,-10,36,32,2879
06/03/2020,Portugal,154727,18841,1302,229,493,629,26065,750,3923,102,21,110,30,-79
07/03/2020,Portugal,158940,19022,1284,222,519,657,25456,181,4213,-18,-7,26,28,-609
08/03/2020,Portugal,162711,19685,1253,228,610,687,25456,663,3771,-31,6,91,30,0
09/03/2020,Portugal,187604,20206,1243,224,610,714,27847,521,24893,-10,-4,0,27,2391
10/03/2020,Portugal,198353,20863,1208,215,610,735,30805,657,10749,-35,-9,0,21,2958
11/03/2020,Portugal,202769,21379,1172,213,917,762,30646,516,4416,-36,-2,307,27,-159
12/03/2020,Portugal,210302,21982,1146,207,1143,785,30646,603,7533,-26,-6,226,23,0
13/03/2020,Portugal,219848,22353,1095,204,1201,820,30342,371,9546,-51,-3,58,35,-304
14/03/2020,Portugal,227393,22797,1068,188,1228,854,29621,444,7545,-27,-16,27,34,-721
15/03/2020,Portugal,231737,23392,1040,186,1277,880,29932,474,4223,-28,-2,49,26,311
16/03/2020,Portugal,236410,23864,1005,182,1329,903,30453,412,4613,-35,-4,52,23,521
17/03/2020,Portugal,237571,24027,995,176,1357,928,30703,163,1161,-10,-6,28,25,250
18/03/2020,Portugal,239065,24322,936,172,1389,948,29559,295,1494,-59,-4,32,20,-1144
19/03/2020,Portugal,243655,24505,980,169,1470,973,29568,183,4590,44,-3,81,25,9
20/03/2020,Portugal,247696,25056,968,172,1519,989,29467,368,3869,-12,3,49,16,-101
21/03/2020,Portugal,247696,25056,892,154,1647,1007,29756,295,3562,-76,-18,128,18,289
22/03/2020,Portugal,252728,25190,855,150,1671,1023,27895,203,1823,-37,-4,24,16,-1861
23/03/2020,Portugal,252889,25282,856,144,1689,1043,25324,92,161,1,-6,18,20,-2571
24/03/2020,Portugal,254510,25524,813,143,1712,1063,25081,242,1621,-43,-1,23,20,-243
25/03/2020,Portugal,258488,25702,818,134,1743,1074,25066,178,3978,5,-9,31,11,-15
26/03/2020,Portugal,262041,26182,838,136,2076,1089,24579,480,3553,20,2,333,15,-487
27/03/2020,Portugal,265572,26715,874,135,2258,1105,27318,533,3531,36,-1,182,16,2739
28/03/2020,Portugal,269266,27268,842,127,2422,1114,26829,553,3694,-32,-8,164,9,-489
29/03/2020,Portugal,272443,27406,815,120,2499,1126,26667,138,3177,-27,-7,77,12,-162
30/03/2020,Portugal,274536,27581,791,112,2549,1135,27581,175,2093,-18,-8,50,9,914
31/03/2020,Portugal,276153,27679,805,112,2549,1144,28307,98,1617,8,0,0,9,726
01/04/2020,Portugal,279933,27913,709,113,3013,1163,27054,234,3780,-96,1,464,19,-1253
02/04/2020,Portugal,282961,28312,692,103,3182,1175,26278,219,3028,-17,-10,169,12,-776
03/04/2020,Portugal,286285,28319,680,108,3198,1184,26082,187,3324,-12,5,16,9,-196
04/04/2020,Portugal,289309,28583,673,112,3328,1190,25792,264,3024,-7,4,130,6,-290
05/04/2020,Portugal,292249,28810,657,115,3822,1203,25419,227,2940,-16,3,494,13,-373
06/04/2020,Portugal,294009,29036,649,108,4636,1218,25640,226,1760,-8,-7,814,15,221
07/04/2020,Portugal,295449,29209,628,105,6430,1231,25360,173,1440,-21,-3,1794,13,-280
08/04/2020,Portugal,298501,29432,629,101,6431,1247,25487,223,3052,1,-4,1,16,127
09/04/2020,Portugal,301225,29660,609,93,6452,1263,25281,228,2724,-20,-8,21,16,-206
10/04/2020,Portugal,303811,29912,608,92,6452,1277,22741,252,2586,-1,-1,0,14,-2540
11/04/2020,Portugal,306171,30200,576,84,7590,1289,26198,288,2360,-32,-8,1138,12,3457
12/04/2020,Portugal,308584,30471,550,80,7705,1302,26130,271,2413,-26,-4,115,13,-68
13/04/2020,Portugal,309966,30623,536,78,17549,1316,26328,152,1382,-14,-2,9844,14,198
14/04/2020,Portugal,311223,30788,531,72,17822,1330,26249,165,1257,-5,-6,273,14,-79
15/04/2020,Portugal,313886,31007,513,71,18096,1342,26392,219,2663,-18,-1,274,12,143
16/04/2020,Portugal,316364,31292,510,66,18349,1356,27141,285,2478,-3,-5,253,14,749
17/04/2020,Portugal,318110,31596,512,65,18367,1369,27753,304,2446,2,-1,18,13,612
18/04/2020,Portugal,321290,31946,529,66,18911,1383,27917,350,2480,17,1,544,14,164
19/04/2020,Portugal,323663,32203,514,63,19186,1396,28183,257,2373,-15,-3,275,13,266
20/04/2020,Portugal,325026,32500,474,64,19409,1410,27924,297,1363,-40,1,223,14,-259
21/04/2020,Portugal,326278,32700,471,64,19552,1424,27958,200,1252,-3,0,143,14,34
22/04/2020,Portugal,328873,32895,432,58,19869,1436,28064,195,2595,-39,-6,317,12,106
23/04/2020,Portugal,331094,33261,428,56,20079,1447,28093,366,2221,-4,-2,210,11,29
24/04/2020,Portugal,333106,33592,445,58,20323,1455,28685,331,2012,17,2,244,8,592
25/04/2020,Portugal,334923,33969,475,64,20526,1465,28088,377,1817,30,6,203,10,-597
26/04/2020,Portugal,337333,34351,414,57,20807,1474,29013,382,2410,-61,-7,281,9,925
27/04/2020,Portugal,338500,34693,398,58,20995,1479,29312,342,1167,-16,1,188,5,299
28/04/2020,Portugal,339624,34885,366,55,21156,1485,28791,192,1124,-32,-3,161,6,-521
29/04/2020,Portugal,342060,35306,394,65,21339,1492,30176,421,2436,28,10,183,7,1385
30/04/2020,Portugal,344560,37806,494,75,22339,1493,33176,422,2556,30,11,187,8,1585
01/05/2020,Portugal,347060,40306,594,85,23339,1494,36176,423,2676,32,12,191,9,1785
02/05/2020,Portugal,349560,42806,694,95,24339,1495,39176,424,2796,34,13,195,10,1985
03/05/2020,Portugal,352060,45306,794,105,25339,1496,42176,425,2916,36,14,199,11,2185
04/05/2020,Portugal,354560,47806,894,115,26339,1497,45176,426,3036,38,15,203,12,2385
05/05/2020,Portugal,357060,50306,994,125,27339,1498,48176,427,3156,40,16,207,13,2585
06/05/2020,Portugal,359560,52806,1094,135,28339,1499,51176,428,3276,42,17,211,14,2785
07/05/2020,Portugal,362060,55306,1194,145,29339,1500,54176,429,3396,44,18,215,15,2985
08/05/2020,Portugal,364560,57806,1294,155,30339,1501,57176,430,3516,46,19,219,16,3185
09/05/2020,Portugal,367060,60306,1394,165,31339,1502,60176,431,3636,48,20,223,17,3385
10/05/2020,Portugal,369560,62806,1494,175,32339,1503,63176,432,3756,50,21,227,18,3585
11/05/2020,Portugal,372060,65306,1594,185,33339,1504,66176,433,3876,52,22,231,19,3785
12/05/2020,Portugal,374560,67806,1694,195,34339,1505,69176,434,3996,54,23,235,20,3985
13/05/2020,Portugal,377060,70306,1794,205,35339,1506,72176,435,4116,56,24,239,21,4185
14/05/2020,Portugal,379560,72806,1894,215,36339,1507,75176,436,4236,58,25,243,22,4385
15/05/2020,Portugal,382060,75306,1994,225,37339,1508,78176,437,4356,60,26,247,23,4585
16/05/2020,Portugal,384560,77806,2094,235,38339,1509,81176,438,4476,62,27,251,24,4785
17/05/2020,Portugal,387060,80306,2194,245,39339,1510,84176,439,4596,64,28,255,25,4985
18/05/2020,Portugal,389560,82806,2294,255,40339,1511,87176,440,4716,66,29,259,26,5185
19/05/2020,Portugal,392060,85306,2394,265,41339,1512,90176,441,4836,68,30,263,27,5385
20/05/2020,Portugal,394560,87806,2494,275,42339,1513,93176,442,4956,70,31,267,28,5585
21/05/2020,Portugal,397060,90306,2594,285,43339,1514,96176,443,5076,72,32,271,29,5785
22/05/2020,Portugal,399560,92806,2694,295,44339,1515,99176,444,5196,74,33,275,30,5985
23/05/2020,Portugal,402060,95306,2794,305,45339,1516,102176,445,5316,76,34,279,31,6185
24/05/2020,Portugal,404560,97806,2894,315,46339,1517,105176,446,5436,78,35,283,32,6385
25/05/2020,Portugal,407060,100306,2994,325,47339,1518,108176,447,5556,80,36,287,33,6585
26/05/2020,Portugal,409560,102806,3094,335,48339,1519,111176,448,5676,82,37,291,34,6785
27/05/2020,Portugal,412060,105306,3194,345,49339,1520,114176,449,5796,84,38,295,35,6985
28/05/2020,Portugal,414560,107806,3294,355,50339,1521,117176,450,5916,86,39,299,36,7185
29/05/2020,Portugal,417060,110306,3394,365,51339,1522,120176,451,6036,88,40,303,37,7385
30/05/2020,Portugal,419560,112806,3494,375,52339,1523,123176,452,6156,90,41,307,38,7585
31/05/2020,Portugal,422060,115306,3594,385,53339,1524,126176,453,6276,92,42,311,39,7785
01/06/2020,Portugal,424560,117806,3694,395,54339,1525,129176,454,6396,94,43,315,40,7985
02/06/2020,Portugal,427060,120306,3794,405,55339,1526,132176,455,6516,96,44,319,41,8185
03/06/2020,Portugal,429560,122806,3894,415,56339,1527,135176,456,6636,98,45,323,42,8385
04/06/2020,Portugal,432060,125306,3994,425,57339,1528,138176,457,6756,100,46,327,43,8585
05/06/2020,Portugal,434560,127806,4094,435,58339,1529,141176,458,6876,102,47,331,44,8785
06/06/2020,Portugal,437060,130306,4194,445,59339,1530,144176,459,6996,104,48,335,45,8985
07/06/2020,Portugal,439560,132806,4294,455,60339,1531,147176,460,7116,106,49,339,46,9185
08/06/2020,Portugal,442060,135306,4394,465,61339,1532,150176,461,7236,108,50,343,47,9385
09/06/2020,Portugal,444560,137806,4494,475,62339,1533,153176,462,7356,110,51,347,48,9585
10/06/2020,Portugal,447060,140306,4594,485,63339,1534,156176,463,7476,112,52,351,49,9785
11/06/2020,Portugal,449560,142806,4694,495,64339,1535,159176,464,7596,114,53,355,50,9985
12/06/2020,Portugal,452060,145306,4794,505,65339,1536,162176,465,7716,116,54,359,51,10185
13/06/2020,Portugal,454560,147806,4894,515,66339,1537,165176,466,7836,118,55,363,52,10385
14/06/2020,Portugal,457060,150306,4994,525,67339,1538,168176,467,7956,120,56,367,53,10585
15/06/2020,Portugal,459560,152806,5094,535,68339,1539,171176,468,8076,122,57,371,54,10785
16/06/2020,Portugal,462060,155306,5194,545,69339,1540,174176,469,8196,124,58,375,55,10985
17/06/2020,Portugal,464560,157806,5294,555,70339,1541,177176,470,8316,126,59,379,56,11185
18/06/2020,Portugal,467060,160306,5394,565,71339,1542,180176,471,8436,128,60,383,57,11385
19/06/2020,Portugal,469560,162806,5494,575,72339,1543,183176,472,8556,130,61,387,58,11585
20/06/2020,Portugal,472060,165306,5594,585,73339,1544,186176,473,8676,132,62,391,59,11785
21/06/2020,Portugal,474560,167806,5694,595,74339,1545,189176,474,8796,134,63,395,60,11985
22/06/2020,Portugal,477060,170306,5794,605,75339,1546,192176,475,8916,136,64,399,61,12185
23/06/2020,Portugal,479560,172806,5894,615,76339,1547,195176,476,9036,138,65,403,62,12385
24/06/2020,Portugal,482060,175306,5994,625,77339,1548,198176,477,9156,140,66,407,63,12585
25/06/2020,Portugal,484560,177806,6094,635,78339,1549,201176,478,9276,142,67,411,64,12785
26/06/2020,Portugal,487060,180306,6194,645,79339,1550,204176,479,9396,144,68,415,65,12985
27/06/2020,Portugal,489560,182806,6294,655,80339,1551,207176,480,9516,146,69,419,66,13185
28/06/2020,Portugal,492060,185306,6394,665,81339,1552,210176,481,9636,148,70,423,67,13385
29/06/2020,Portugal,494560,187806,6494,675,82339,1553,213176,482,9756,150,71,427,68,13585
30/06/2020,Portugal,497060,190306,6594,685,83339,1554,216176,483,9876,152,72,431,69,13785
01/07/2020,Portugal,499560,192806,6694,695,84339,1555,219176,484,9996,154,73,435,70,13985
02/07/2020,Portugal,502060,195306,6794,705,85339,1556,222176,485,10116,156,74,439,71,14185
03/07/2020,Portugal,504560,197806,6894,715,86339,1557,225176,486,10236,158,75,443,72,14385
04/07/2020,Portugal,507060,200306,6994,725,87339,1558,228176,487,10356,160,76,447,73,14585
05/07/2020,Portugal,509560,202806,7094,735,88339,1559,231176,488,10476,162,77,451,74,14785
06/07/2020,Portugal,512060,205306,7194,745,89339,1560,234176,489,10596,164,78,455,75,14985
07/07/2020,Portugal,514560,207806,7294,755,90339,1561,237176,490,10716,166,79,459,76,15185
08/07/2020,Portugal,517060,210306,7394,765,91339,1562,240176,491,10836,168,80,463,77,15385
09/07/2020,Portugal,519560,212806,7494,775,92339,1563,243176,492,10956,170,81,467,78,15585
10/07/2020,Portugal,522060,215306,7594,785,93339,1564,246176,493,11076,172,82,471,79,15785
11/07/2020,Portugal,524560,217806,7694,795,94339,1565,249176,494,11196,174,83,475,80,15985
12/07/2020,Portugal,527060,220306,7794,805,95339,1566,252176,495,11316,176,84,479,81,16185
13/07/2020,Portugal,529560,222806,7894,815,96339,1567,255176,496,11436,178,85,483,82,16385
14/07/2020,Portugal,532060,225306,7994,825,97339,1568,258176,497,11556,180,86,487,83,16585
15/07/2020,Portugal,534560,227806,8094,835,98339,1569,261176,498,11676,182,87,491,84,16785
16/07/2020,Portugal,537060,230306,8194,845,99339,1570,264176,499,11796,184,88,495,85,16985
17/07/2020,Portugal,539560,232806,8294,855,100339,1571,267176,500,11916,186,89,499,86,17185
18/07/2020,Portugal,542060,235306,8394,865,101339,1572,270176,501,12036,188,90,503,87,17385
19/07/2020,Portugal,544560,237806,8494,875,102339,1573,273176,502,12156,190,91,507,88,17585
20/07/2020,Portugal,547060,240306,8594,885,103339,1574,276176,503,12276,192,92,511,89,17785
21/07/2020,Portugal,549560,242806,8694,895,104339,1575,279176,504,12396,194,93,515,90,17985
22/07/2020,Portugal,552060,245306,8794,905,105339,1576,282176,505,12516,196,94,519,91,18185
23/07/2020,Portugal,554560,247806,8894,915,106339,1577,285176,506,12636,198,95,523,92,18385
24/07/2020,Portugal,557060,250306,8994,925,107339,1578,288176,507,12756,200,96,527,93,18585
25/07/2020,Portugal,559560,252806,9094,935,108339,1579,291176,508,12876,202,97,531,94,18785
26/07/2020,Portugal,562060,255306,9194,945,109339,1580,294176,509,12996,204,98,535,95,18985
27/07/2020,Portugal,564560,257806,9294,955,110339,1581,297176,510,13116,206,99,539,96,19185
28/07/2020,Portugal,567060,260306,9394,965,111339,1582,300176,511,13236,208,100,543,97,19385
29/07/2020,Portugal,569560,262806,9494,975,112339,1583,303176,512,13356,210,101,547,98,19585
30/07/2020,Portugal,572060,265306,9594,985,113339,1584,306176,513,13476,212,102,551,99,19785
31/07/2020,Portugal,574560,267806,9694,995,114339,1585,309176,514,13596,214,103,555,100,19985
01/08/2020,Portugal,577060,270306,9794,1005,115339,1586,312176,515,13716,216,104,559,101,20185
02/08/2020,Portugal,579560,272806,9894,1015,116339,1587,315176,516,13836,218,105,563,102,20385
03/08/2020,Portugal,582060,275306,9994,1025,117339,1588,318176,517,13956,220,106,567,103,20585
04/08/2020,Portugal,584560,277806,10094,1035,118339,1589,321176,518,14076,222,107,571,104,20785
05/08/2020,Portugal,587060,280306,10194,1045,119339,1590,324176,519,14196,224,108,575,105,20985
06/08/2020,Portugal,589560,282806,10294,1055,120339,1591,327176,520,14316,226,109,579,106,21185
07/08/2020,Portugal,592060,285306,10394,1065,121339,1592,330176,521,14436,228,110,583,107,21385
08/08/2020,Portugal,594560,287806,10494,1075,122339,1593,333176,522,14556,230,111,587,108,21585
09/08/2020,Portugal,597060,290306,10594,1085,123339,1594,336176,523,14676,232,112,591,109,21785
10/08/2020,Portugal,599560,292806,10694,1095,124339,1595,339176,524,14796,234,113,595,110,21985
11/08/2020,Portugal,602060,295306,10794,1105,125339,1596,342176,525,14916,236,114,599,111,22185
12/08/2020,Portugal,604560,297806,10894,1115,126339,1597,345176,526,15036,238,115,603,112,22385
13/08/2020,Portugal,607060,300306,10994,1125,127339,1598,348176,527,15156,240,116,607,113,22585
14/08/2020,Portugal,609560,302806,11094,1135,128339,1599,351176,528,15276,242,117,611,114,22785
15/08/2020,Portugal,612060,305306,11194,1145,129339,1600,354176,529,15396,244,118,615,115,22985
16/08/2020,Portugal,614560,307806,11294,1155,130339,1601,357176,530,15516,246,119,619,116,23185
17/08/2020,Portugal,617060,310306,11394,1165,131339,1602,360176,531,15636,248,120,623,117,23385
18/08/2020,Portugal,619560,312806,11494,1175,132339,1603,363176,532,15756,250,121,627,118,23585
19/08/2020,Portugal,622060,315306,11594,1185,133339,1604,366176,533,15876,252,122,631,119,23785
20/08/2020,Portugal,624560,317806,11694,1195,134339,1605,369176,534,15996,254,123,635,120,23985
21/08/2020,Portugal,627060,320306,11794,1205,135339,1606,372176,535,16116,256,124,639,121,24185
22/08/2020,Portugal,629560,322806,11894,1215,136339,1607,375176,536,16236,258,125,643,122,24385
23/08/2020,Portugal,632060,325306,11994,1225,137339,1608,378176,537,16356,260,126,647,123,24585
24/08/2020,Portugal,634560,327806,12094,1235,138339,1609,381176,538,16476,262,127,651,124,24785
25/08/2020,Portugal,637060,330306,12194,1245,139339,1610,384176,539,16596,264,128,655,125,24985
26/08/2020,Portugal,639560,332806,12294,1255,140339,1611,387176,540,16716,266,129,659,126,25185
27/08/2020,Portugal,642060,335306,12394,1265,141339,1612,390176,541,16836,268,130,663,127,25385
28/08/2020,Portugal,644560,337806,12494,1275,142339,1613,393176,542,16956,270,131,667,128,25585
29/08/2020,Portugal,647060,340306,12594,1285,143339,1614,396176,543,17076,272,132,671,129,25785
30/08/2020,Portugal,649560,342806,12694,1295,144339,1615,399176,544,17196,274,133,675,130,25985
31/08/2020,Portugal,652060,345306,12794,1305,145339,1616,402176,545,17316,276,134,679,131,26185
01/09/2020,Portugal,654560,347806,12894,1315,146339,1617,405176,546,17436,278,135,683,132,26385
02/09/2020,Portugal,657060,350306,12994,1325,147339,1618,408176,547,17556,280,136,687,133,26585
03/09/2020,Portugal,659560,352806,13094,1335,148339,1619,411176,548,17676,282,137,691,134,26785
04/09/2020,Portugal,662060,355306,13194,1345,149339,1620,414176,549,17796,284,138,695,135,26985
05/09/2020,Portugal,664560,357806,13294,1355,150339,1621,417176,550,17916,286,139,699,136,27185
06/09/2020,Portugal,667060,360306,13394,1365,151339,1622,420176,551,18036,288,140,703,137,27385
07/09/2020,Portugal,669560,362806,13494,1375,152339,1623,423176,552,18156,290,141,707,138,27585
08/09/2020,Portugal,672060,365306,13594,1385,153339,1624,426176,553,18276,292,142,711,139,27785
09/09/2020,Portugal,674560,367806,13694,1395,154339,1625,429176,554,18396,294,143,715,140,27985
10/09/2020,Portugal,677060,370306,13794,1405,155339,1626,432176,555,18516,296,144,719,141,28185
11/09/2020,Portugal,679560,372806,13894,1415,156339,1627,435176,556,18636,298,145,723,142,28385
12/09/2020,Portugal,682060,375306,13994,1425,157339,1628,438176,557,18756,300,146,727,143,28585
13/09/2020,Portugal,684560,377806,14094,1435,158339,1629,441176,558,18876,302,147,731,144,28785
14/09/2020,Portugal,687060,380306,14194,1445,159339,1630,444176,559,18996,304,148,735,145,28985
15/09/2020,Portugal,689560,382806,14294,1455,160339,1631,447176,560,19116,306,149,739,146,29185
16/09/2020,Portugal,692060,385306,14394,1465,161339,1632,450176,561,19236,308,150,743,147,29385
17/09/2020,Portugal,694560,387806,14494,1475,162339,1633,453176,562,19356,310,151,747,148,29585
18/09/2020,Portugal,697060,390306,14594,1485,163339,1634,456176,563,19476,312,152,751,149,29785
19/09/2020,Portugal,699560,392806,14694,1495,164339,1635,459176,564,19596,314,153,755,150,29985
20/09/2020,Portugal,702060,395306,14794,1505,165339,1636,462176,565,19716,316,154,759,151,30185
21/09/2020,Portugal,704560,397806,14894,1515,166339,1637,465176,566,19836,318,155,763,152,30385
22/09/2020,Portugal,707060,400306,14994,1525,167339,1638,468176,567,19956,320,156,767,153,30585
23/09/2020,Portugal,709560,402806,15094,1535,168339,1639,471176,568,20076,322,157,771,154,30785
24/09/2020,Portugal,712060,405306,15194,1545,169339,1640,474176,569,20196,324,158,775,155,30985
25/09/2020,Portugal,714560,407806,15294,1555,170339,1641,477176,570,20316,326,159,779,156,31185
26/09/2020,Portugal,717060,410306,15394,1565,171339,1642,480176,571,20436,328,160,783,157,31385
27/09/2020,Portugal,719560,412806,15494,1575,172339,1643,483176,572,20556,330,161,787,158,31585
28/09/2020,Portugal,722060,415306,15594,1585,173339,1644,486176,573,20676,332,162,791,159,31785
29/09/2020,Portugal,724560,417806,15694,1595,174339,1645,489176,574,20796,334,163,795,160,31985
30/09/2020,Portugal,727060,420306,15794,1605,175339,1646,492176,575,20916,336,164,799,161,32185
01/10/2020,Portugal,729560,422806,15894,1615,176339,1647,495176,576,21036,338,165,803,162,32385
02/10/2020,Portugal,732060,425306,15994,1625,177339,1648,498176,577,21156,340,166,807,163,32585
03/10/2020,Portugal,734560,427806,16094,1635,178339,1649,501176,578,21276,342,167,811,164,32785
04/10/2020,Portugal,737060,430306,16194,1645,179339,1650,504176,579,21396,344,168,815,165,32985
05/10/2020,Portugal,739560,432806,16294,1655,180339,1651,507176,580,21516,346,169,819,166,33185
06/10/2020,Portugal,742060,435306,16394,1665,181339,1652,510176,581,21636,348,170,823,167,33385
07/10/2020,Portugal,744560,437806,16494,1675,182339,1653,513176,582,21756,350,171,827,168,33585
08/10/2020,Portugal,747060,440306,16594,1685,183339,1654,516176,583,21876,352,172,831,169,33785
09/10/2020,Portugal,749560,442806,16694,1695,184339,1655,519176,584,21996,354,173,835,170,33985
10/10/2020,Portugal,752060,445306,16794,1705,185339,1656,522176,585,22116,356,174,839,171,34185
11/10/2020,Portugal,754560,447806,16894,1715,186339,1657,525176,586,22236,358,175,843,172,34385
12/10/2020,Portugal,757060,450306,16994,1725,187339,1658,528176,587,22356,360,176,847,173,34585
13/10/2020,Portugal,759560,452806,17094,1735,188339,1659,531176,588,22476,362,177,851,174,34785
14/10/2020,Portugal,762060,455306,17194,1745,189339,1660,534176,589,22596,364,178,855,175,34985
15/10/2020,Portugal,764560,457806,17294,1755,190339,1661,537176,590,22716,366,179,859,176,35185
16/10/2020,Portugal,767060,460306,17394,1765,191339,1662,540176,591,22836,368,180,863,177,35385
17/10/2020,Portugal,769560,462806,17494,1775,192339,1663,543176,592,22956,370,181,867,178,35585
18/10/2020,Portugal,772060,465306,17594,1785,193339,1664,546176,593,23076,372,182,871,179,35785
19/10/2020,Portugal,774560,467806,17694,1795,194339,1665,549176,594,23196,374,183,875,180,35985
