n,a,b,c,d,e
62,0.528431936,0.587018955,0.684663986,TRUE,TRUE
63,0.616886847,0.659391155,0.740953475,TRUE,TRUE
64,0.663986215,0.693854107,0.831705916,TRUE,TRUE
65,0.727168294,0.783457783,0.88225158,TRUE,TRUE
66,0.777713957,0.88684664,0.994830557,TRUE,TRUE
67,0.80987938,0.919012062,1.037334865,TRUE,TRUE
68,0.81217691,0.899483056,1.04078116,TRUE,TRUE
69,0.730614589,0.839747272,1.012062033,TRUE,TRUE
70,0.732912119,0.855829983,0.955772545,TRUE,TRUE
71,0.704192993,0.789201608,0.900631821,TRUE,TRUE
72,0.650201034,0.717978173,0.828259621,TRUE,TRUE
73,0.626076967,0.682366456,0.731763354,TRUE,TRUE
74,0.575531304,0.659391155,0.699597932,TRUE,TRUE
75,0.551407237,0.654796094,0.723721999,TRUE,TRUE
76,0.551407237,0.616886847,0.708788053,TRUE,TRUE
77,0.562894888,0.627225732,0.698449167,TRUE,TRUE
78,0.59735784,0.657093624,0.731763354,TRUE,TRUE
79,0.614589316,0.726019529,0.832854681,TRUE,TRUE
80,0.747846065,0.863871338,0.935094773,TRUE,TRUE
81,0.813325675,0.980470994,1.047673751,TRUE,TRUE
82,0.892590465,1.001723148,1.132682366,TRUE,TRUE
83,0.967260195,1.10396324,1.242963814,TRUE,TRUE
84,1.009764503,1.157955198,1.372774268,TRUE,TRUE
85,1.097070649,1.208500862,1.40264216,TRUE,TRUE
86,1.147616312,1.336013785,1.446869615,TRUE,TRUE
87,1.147616312,1.362435382,1.548535325,TRUE,TRUE
88,1.156806433,1.315336014,1.48879954,TRUE,TRUE
89,1.140723722,1.298104538,1.494543366,TRUE,TRUE
90,1.131533601,1.322228604,1.470419299,TRUE,TRUE
91,1.1085583,1.269959793,1.440551407,TRUE,TRUE
92,1.072946582,1.246410109,1.384261918,TRUE,TRUE
93,1.037334865,1.168294084,1.325674899,TRUE,TRUE
94,0.967260195,1.134979897,1.280873061,TRUE,TRUE
95,0.981045376,1.10626077,1.308443423,TRUE,TRUE
96,0.946582424,1.094773119,1.2533027,TRUE,TRUE
97,0.936243538,1.055140724,1.201608271,TRUE,TRUE
98,0.894887995,1.004020678,1.148765078,TRUE,TRUE
99,0.830557151,0.932797243,1.120045951,TRUE,TRUE
100,0.793796669,0.894313613,1.046524986,TRUE,TRUE
101,0.698449167,0.842044802,0.95921884,TRUE,TRUE
102,0.607696726,0.726019529,0.874210224,TRUE,TRUE
103,0.547960942,0.655944859,0.776565192,TRUE,TRUE
104,0.491671453,0.607696726,0.734060885,TRUE,TRUE
105,0.429638139,0.560597358,0.690407812,TRUE,TRUE
106,0.385985066,0.504882252,0.637564618,TRUE,TRUE
107,0.342331993,0.474439977,0.614589316,TRUE,TRUE
108,0.323951752,0.452613441,0.605399196,TRUE,TRUE
109,0.29867892,0.431935669,0.603101666,TRUE,TRUE
110,0.268811028,0.418150488,0.611143021,TRUE,TRUE
111,0.257323377,0.408960368,0.626076967,TRUE,TRUE
112,0.240091901,0.399770247,0.650201034,TRUE,TRUE
113,0.234348076,0.390580126,0.66283745,TRUE,TRUE
114,0.22860425,0.388282596,0.668581275,TRUE,TRUE
